date,open,high,low,close,volume
2015-01-02,56.9636266062,57.8209002862,56.9228079061,57.2003974915,3146200
2015-01-05,56.9309458283,57.2248615017,56.4574042933,56.6370239258,4845500
2015-01-06,57.0860662591,57.8943545981,56.4982224595,56.9227790833,5127400
2015-01-07,57.1758906953,57.5841149684,55.8859004973,56.5227355957,9043000
2015-01-08,57.1514046665,58.3679113932,56.8738151195,57.8617172241,7472200
2015-01-09,57.1758856976,57.2412030706,56.343110994,57.0942420959,8141700
2015-01-12,57.331010055,57.649424446,56.5635465334,56.6778488159,5797600
2015-01-13,57.2085503214,57.8045605107,56.1798233922,56.645198822,3364800
2015-01-14,56.1471935093,57.0534523738,56.0982085639,56.9554824829,3376100
2015-01-15,57.5106428329,58.188290454,56.9309650597,56.939125061,4055000
2015-01-16,56.8166377304,57.8698568502,56.694175461,57.7065696716,4263300
2015-01-20,57.8617112168,58.8659394491,57.8617112168,58.8087882996,6163300
2015-01-21,58.4740495498,59.1925220578,58.0576590298,58.9802436829,5195900
2015-01-22,59.3476484298,59.3476484298,58.4903749414,59.1598625183,4582800
2015-01-23,59.1598676256,59.486448327,58.8251269228,58.8904380798,2903200
2015-01-26,58.6699952167,58.9230922822,58.0168338637,58.8741073608,3466600
2015-01-27,58.5883504924,58.8985987032,58.3352472027,58.5638580322,3661600
2015-01-28,58.8741064246,59.094544796,57.7719021094,57.9433555603,3105200
2015-01-29,57.9433564818,58.9149322813,57.494307273,58.8741073608,4416600
2015-01-30,59.6170766253,59.9844822487,58.4413948259,58.7843017578,6720100
2015-02-02,58.6781766989,58.784312799,57.3392011834,58.5312156677,6274500
2015-02-03,58.4495556901,58.4903806141,57.0289367875,57.8780441284,6811500
2015-02-04,57.3392056614,57.5514778782,56.9636337076,57.3310394287,5376400
2015-02-05,57.7229017327,58.433214112,57.7065755048,58.3025856018,3847000
2015-02-06,58.0984853151,58.2862650047,57.3473478697,57.4453239441,3246000
2015-02-09,57.1514032014,57.363681586,56.6452028163,56.832988739,3771200
2015-02-10,57.2412130705,57.6086124567,57.061593378,57.559627533,6888000
2015-02-11,57.5596178039,58.06943382,57.3129312182,57.5185012817,3456400
2015-02-12,57.7158501024,58.0118714807,57.4198287241,57.9954223633,3383500
2015-02-13,58.126996279,58.2914498292,57.7158561299,58.0200958252,2691900
2015-02-17,57.8967518688,58.8999284426,57.8063005449,58.8423690796,3971600
2015-02-18,58.7190309737,58.7519166604,57.72406643,58.3901176453,3800000
2015-02-19,58.2421249258,58.6203731744,58.1927838335,58.4805870056,2337000
2015-02-20,58.3572350711,59.1712908279,57.7816350854,59.105506897,3461700
2015-02-23,59.0479410517,59.1383923785,58.1434340573,58.4558982849,3378600
2015-02-24,58.3819094039,58.793049611,57.9789937576,58.2996826172,3158600
2015-02-25,58.2750089488,58.2750089488,57.6007393326,57.8556442261,3029500
2015-02-26,57.6994082932,57.8145270356,57.1813739523,57.5842895508,4544900
2015-02-27,57.518518216,57.9707749984,57.4856325168,57.699420929,3353200
2015-03-02,57.6994168255,58.497029854,57.691198538,58.4805870056,3815100
2015-03-03,58.4805982337,58.5052656479,57.6336439503,57.8638877869,4137300
2015-03-04,57.5678723348,58.2339176801,57.4034124342,58.0941314697,3005100
2015-03-05,58.1681164222,58.4559133208,57.8885440846,58.0447731018,3465900
2015-03-06,57.7734106192,57.7734106192,56.1699604093,56.2521934509,5880800
2015-03-09,56.5235452122,57.3458254998,56.2604157711,57.214263916,5848000
2015-03-10,56.8360246794,57.0909296012,56.3673250927,56.5564460754,3664900
2015-03-11,56.6468736813,57.0086789207,56.2521827598,56.2932929993,3424500
2015-03-12,56.5317623737,57.2553666737,56.3590842888,57.197807312,2724000
2015-03-13,57.0744785862,57.6007374759,56.8524593922,57.4691696167,3223800
2015-03-16,57.7816415476,58.7108224242,57.7076393221,58.4394683838,3922300
2015-03-17,58.1434491241,58.5957058752,57.8309848155,58.2503433228,2572500
2015-03-18,58.2996775293,60.9885314886,58.1269994103,60.4704971313,6436200
2015-03-19,60.2402556884,61.3256654182,59.6893231272,61.0296440125,7051200
2015-03-20,61.8519302102,62.6577614567,61.2927793097,62.5919837952,10713900
2015-03-23,62.5097395478,63.6938250718,62.4521801833,62.7893180847,6284400
2015-03-24,62.7153146799,63.068895454,61.9670428816,62.1314964294,5111600
2015-03-25,62.2137269704,62.8879965271,61.1447601318,61.1447601318,5431600
2015-03-26,60.8487463235,61.1365431933,60.3718222115,60.3882713318,4023500
2015-03-27,60.5362908671,60.840530628,60.1909282995,60.5033988953,4171600
2015-03-30,60.8487307082,61.0131842277,60.5773767548,60.7418365479,3370700
2015-03-31,60.3142718037,60.8323125198,59.7386779785,59.7386779785,4348000
2015-04-01,59.9606955862,60.0018121226,58.4394778389,58.8177261353,5875800
2015-04-02,58.7601453634,59.02327479,57.9954244871,58.5792427063,3781800
2015-04-06,58.4888033925,58.9657275366,58.2503413204,58.6368141174,3936900
2015-04-07,58.5874843794,59.2699786856,58.5299249966,58.9575080872,3128100
2015-04-08,59.1383988594,59.4344202752,58.8259345976,59.3275260925,3215400
2015-04-09,59.3850910551,59.6646633777,59.12196158,59.5002098083,2595800
2015-04-10,59.615311226,60.8322886156,59.4097411873,60.7829475403,3956400
2015-04-13,60.2567102352,60.5527316984,60.1169240646,60.4540557861,4351500
2015-04-14,60.2731472792,60.6431708973,60.1086874584,60.4047088623,3950600
2015-04-15,60.4704853286,60.8651763027,60.2731398415,60.6102714539,4358700
2015-04-16,60.5280658684,60.8487547497,60.3471631614,60.4293899536,2880000
2015-04-17,60.034696096,60.1909251121,59.171299133,59.5906639099,4386700
2015-04-20,60.0264516395,60.2402462375,59.4508580373,59.5413093567,2540400
2015-04-21,60.0100402132,60.1251589939,59.2535373026,59.3768806458,4048400
2015-04-22,59.5906413701,59.5906413701,59.1054928365,59.4508552551,3506100
2015-04-23,59.9277911932,59.9771322814,58.4394657289,59.5331001282,5448700
2015-04-24,59.3850961228,59.5577742675,58.5957076301,58.8588371277,3816300
2015-04-27,59.1466382558,59.3439838247,58.0776710668,58.2914657593,5328400
2015-04-28,58.0694436577,58.6121454553,57.7240811245,58.5299186707,4557900
2015-04-29,59.0890766823,59.8784652021,59.0726275592,59.4344329834,6789600
2015-04-30,59.1712807996,59.7057641695,58.7354733095,59.097278595,5479300
2015-05-01,59.4179946238,60.2978345662,58.5874895072,60.1251564026,6533400
2015-05-04,60.2320156092,60.5115878239,59.9031023239,60.0675621033,4040700
2015-05-05,59.8866806052,60.0017993547,59.0561756784,59.1301841736,3735900
2015-05-06,59.1795163609,59.4344212557,58.825935568,59.245300293,3567600
2015-05-07,58.9985968028,59.4426288068,58.9739294037,59.0561561584,3628100
2015-05-08,59.6153451218,60.6020793592,59.6153451218,60.2402801514,3713300
2015-05-11,60.2402704583,60.8405317029,60.1827110749,60.4129486084,2958600
2015-05-12,60.1415880341,60.1415880341,59.4590937955,59.5659942627,3152800
2015-05-13,59.8291304274,60.2156032628,59.6071111811,59.8620223999,2682100
2015-05-14,60.1766088123,60.6237115051,59.9696171758,60.4912338257,3364300
2015-05-15,60.6320142944,60.789323698,60.1021097068,60.3587837219,3464400
2015-05-18,60.4829836012,60.5160967178,60.1269575872,60.3919067383,2162000
2015-05-19,60.2925539254,60.9218105853,60.1352381812,60.8141708374,3548000
2015-05-20,60.8141685327,61.0128851442,60.5906202408,60.739654541,1980300
2015-05-21,60.7230935058,61.5593418999,60.5906220776,61.4931030273,3288200
2015-05-22,61.3109488052,61.5427785165,61.161914517,61.5179405212,3023400
2015-05-26,61.2364502459,61.5759198128,61.1205353491,61.5262374878,4194600
2015-05-27,61.5676256155,62.0892425428,61.3854718677,62.0147285461,2901100
2015-05-28,61.9319264042,63.3229110434,61.8822440949,63.2649536133,4823600
2015-05-29,63.0496750898,65.8647635628,62.9420353596,65.3265838623,11917000
2015-06-01,65.3431239475,66.1131331546,65.2272091264,65.409362793,4866500
2015-06-02,65.2107044815,65.2107044815,64.1757453856,64.5400466919,4467700
2015-06-03,64.5814114115,64.7221642536,63.9852742954,64.4406585693,3270800
2015-06-04,64.0349552621,65.0781952963,64.0266801415,64.3164672852,3786500
2015-06-05,64.2171127296,64.7966933677,63.7451718347,64.6807785034,2788900
2015-06-08,64.5648738682,65.2852011648,64.4406775463,65.01197052,6065900
2015-06-09,64.8877803937,68.630188704,64.5897117485,68.5308303833,10109100
2015-06-10,67.8850249906,69.126975718,67.3220070748,68.8703079224,13169400
2015-06-11,68.8123354024,72.2318367154,68.787497404,71.6936569214,16740800
2015-06-12,71.1140679733,71.2051448267,68.7957584057,69.7230834961,12630500
2015-06-15,69.1932286725,70.0543154433,68.7958015795,69.6154937744,5462700
2015-06-16,69.4747030785,70.6421330801,69.2428670487,70.1950302124,5694500
2015-06-17,70.1122432344,70.1122432344,68.7295399113,69.1600799561,5968200
2015-06-18,69.4581499472,69.8555768798,68.5142680885,68.7543792725,7251500
2015-06-19,68.2824074721,68.895100996,68.158211217,68.4148788452,6907000
2015-06-22,68.9696684969,69.0855833966,68.5970794764,68.6550369263,3537100
2015-06-23,69.3422421459,69.3422421459,68.2658824277,68.4480361938,3643500
2015-06-24,68.3072689412,68.787491257,68.1085586548,68.1085586548,4212100
2015-06-25,69.681718048,71.9503462595,69.6154791602,70.2116165161,9630100
2015-06-26,70.5344779362,71.1471714624,70.0294177958,71.0809326172,14369800
2015-06-29,70.6669654294,70.8574005736,69.3256632502,69.3670578003,4441900
2015-06-30,69.9631937218,70.0211511444,69.04415008,69.1269454956,4261200
2015-07-01,69.3836141914,70.3440523091,69.218017056,70.2529754639,3629100
2015-07-02,70.5510734393,71.4038785127,70.1205333413,71.3210830688,5128100
2015-07-06,70.6338779759,71.5694849305,70.5842019666,71.4949645996,5062900
2015-07-07,71.7350608114,73.5069096968,71.2548384324,73.4655151367,6912300
2015-07-08,73.0846203294,73.2750554563,72.1738581916,72.2400970459,5330000
2015-07-09,72.8610742951,73.1177419672,71.9503121298,72.4305343628,4767600
2015-07-10,73.1094777266,73.241949142,72.6126925471,73.1011962891,4471200
2015-07-13,73.8049576597,74.6660438619,73.4158122656,73.5400085449,5940500
2015-07-14,73.7304599913,73.771854549,72.7368958535,73.4903488159,6028700
2015-07-15,72.6871961923,73.0018212592,71.2879304702,71.5197601318,6615900
2015-07-16,71.867522591,72.4139774081,71.6853688797,72.173866272,5578000
2015-07-17,72.0331350785,72.3974426107,71.7185098661,72.3394851685,4430100
2015-07-20,72.6126893227,72.7948430382,72.2566633289,72.7534484863,4320500
2015-07-21,72.5133596096,72.6044364953,70.8077431005,70.8491439819,8065300
2015-07-22,68.9861840916,71.8675109411,67.4792849743,71.5197601318,12677800
2015-07-23,73.7387317436,74.4093892431,70.8905298393,71.8344116211,5258500
2015-07-24,71.2051828011,71.3790551638,69.6817261081,70.1453857422,3460300
2015-07-27,69.9631956292,70.0542724839,69.002751095,69.6734085083,5420600
2015-07-28,70.13709457,70.956780257,69.9632222313,70.9402236938,3027800
2015-07-29,71.1306449073,71.1968774636,70.1370807604,70.4517059326,2711800
2015-07-30,69.7645081183,70.3523639887,69.532678346,69.9963378906,3867800
2015-07-31,70.2778403452,70.5924718644,69.8638568236,69.971496582,4113600
2015-08-03,70.2198515113,70.3771672005,69.1600551806,69.6651153564,4815500
2015-08-04,69.9549307658,70.36891427,69.4250323858,69.5906295776,2848200
2015-08-05,70.1122322489,70.4434202482,69.5243765507,70.1536331177,3776800
2015-08-06,70.4930957097,70.4930957097,67.2640237952,68.4728546143,3866500
2015-08-07,68.3072564197,68.4645721226,66.7755192058,68.1168212891,4545300
2015-08-10,68.5722324995,69.3587986894,68.2576072869,69.1435317993,3211600
2015-08-11,68.5639543384,69.3422454429,68.4977217704,69.1683731079,3205600
2015-08-12,68.8934844544,69.5515175386,68.0022257413,69.4515609741,2826900
2015-08-13,69.3016269122,69.7597532066,69.0434137399,69.1600265503,2253900
2015-08-14,69.0600759865,69.9263407579,68.960119426,69.8930282593,2280200
2015-08-17,69.3515929692,69.784725261,69.0767172537,69.526512146,2814700
2015-08-18,69.8264009907,69.9596700697,69.3266308233,69.4598999023,2241400
2015-08-19,69.2516477187,70.409450807,68.776865203,69.7764053345,2651300
2015-08-20,72.3502259411,74.0910929248,71.4756236213,72.7417144775,10887700
2015-08-21,72.450183369,73.0499036001,70.4094467163,70.4094467163,8320000
2015-08-24,67.9689273525,69.1017433379,66.2197282545,67.2442626953,8620700
2015-08-25,68.4603303939,68.8018374267,64.8536465254,65.1868286133,6439000
2015-08-26,66.536233907,67.7190311178,64.7787038747,67.5524368286,7217800
2015-08-27,68.1271721868,70.001314939,68.0605344749,69.7514266968,4703400
2015-08-28,69.7514013597,69.9679706673,68.9434368721,69.2932815552,4860800
2015-08-31,69.4765463277,70.3178234775,68.3437308229,68.5936126709,3445300
2015-09-01,66.8444458775,67.6773984741,66.1364374414,66.469619751,4300500
2015-09-02,67.2275604563,68.1604690576,66.8860534139,68.1438064575,3257900
