date,open,high,low,close,volume
2015-01-02,77.8959477502,78.24289942,77.0236034797,77.767074585,18177500
2015-01-05,77.3011826864,78.5601239314,76.1909296318,76.5180587769,26452200
2015-01-06,76.5577143421,76.9145735756,74.7039900139,75.4871139526,27399300
2015-01-07,76.0918044932,76.6865799663,75.1599847954,75.4871139526,22045300
2015-01-08,76.0719683516,77.5490031949,75.4177176517,77.4994354248,23961000
2015-01-09,77.5192576831,77.9356072865,76.5279627892,77.0632629395,21157000
2015-01-12,77.1623923735,77.3210031898,75.5465843885,76.0521469116,19190200
2015-01-13,76.5577088718,77.4003080288,75.189717062,75.7844924927,25179600
2015-01-14,75.7547551085,76.5279639272,75.3681506991,75.6159744263,25918600
2015-01-15,75.7349214302,75.9034397249,72.8998178021,73.405380249,34134000
2015-01-16,73.3954527208,74.6643085924,73.1971892641,74.5255279541,21791500
2015-01-20,75.0608619967,75.6457224429,74.1686949439,75.5763320923,22821600
2015-01-21,75.4970227877,76.6270983623,75.1897162276,76.0719680786,25096700
2015-01-22,76.4982123731,77.0731651307,76.0124800738,76.9740371704,19519500
2015-01-23,76.9740477011,77.5093478352,76.369357229,77.1524810791,16746500
2015-01-26,77.3011804143,77.7869128026,76.6171845062,76.8253555298,19260800
2015-01-27,76.0422277022,76.2107460131,74.9716274398,75.1203231812,20110000
2015-01-28,76.230590452,76.9641466675,75.3384233992,75.5763320923,53306400
2015-01-29,76.1810085429,77.340821715,73.5639907154,77.3209991455,61293500
2015-01-30,77.3210094479,77.479620277,75.0905957139,75.249206543,42649500
2015-02-02,75.4474492699,75.4771869044,73.1079928923,74.3371963501,41955300
2015-02-03,74.5354660632,74.9220704697,73.2170420291,74.743637085,26957700
2015-02-04,74.4363337337,75.6853674811,74.357035886,74.9716339111,20277400
2015-02-05,75.0509330883,75.3185869363,74.5552856574,74.9518051147,15062600
2015-02-06,75.0211974751,75.0410200451,73.6036454818,73.8217315674,21211000
2015-02-09,73.4053877951,74.1785965799,72.8106048256,73.7919921875,16194300
2015-02-10,74.1984020577,74.6841343121,73.8514504474,74.535446167,15811300
2015-02-11,74.4363193268,76.081872246,74.3768440618,75.843963623,20877400
2015-02-12,76.1909269464,76.2008420131,75.2293696792,75.5664138794,17235000
2015-02-13,75.794422156,75.8142522932,74.8427797711,75.0806884766,18621900
2015-02-17,74.6445029936,76.2404882593,74.426416923,74.9418869019,25254400
2015-02-18,75.2789349753,76.2305771445,74.7931950428,76.0422286987,22426400
2015-02-19,76.3197834341,79.1449720608,76.2801307351,78.7286300659,45851200
2015-02-20,78.8575160546,79.6406324073,78.5105567728,79.2044677734,36931700
2015-02-23,79.2639317997,79.4919329329,77.6976841907,78.153678894,24139100
2015-02-24,77.8166423505,78.7881145891,77.4201229151,77.767074585,18897100
2015-02-25,77.8166537816,79.5018521759,77.8166537816,78.8674240112,25593800
2015-02-26,79.184636932,80.6616718351,79.0260336746,79.7100296021,31111900
2015-02-27,79.9776678932,80.5228830797,77.9356029455,78.2825546265,30739200
2015-03-02,78.3122921169,79.1648062817,77.8364672675,79.0557632446,21662500
2015-03-03,78.9169890414,79.0062019538,77.8364736479,78.9070739746,18635000
2015-03-04,78.6096772765,80.4435710648,78.1635900979,80.1957473755,28126700
2015-03-05,80.5228818896,81.2762605105,80.3444485187,80.5030517578,27825700
2015-03-06,80.1957512219,80.6220082905,79.1350660833,79.3134994507,24488600
2015-03-09,78.9863674892,79.2143686138,77.9455049567,78.7484588623,18925100
2015-03-10,77.8166585732,78.5700449013,76.8749313354,76.8749313354,23067100
2015-03-11,77.1227383751,77.7472513757,76.5874382762,76.8947372437,20215700
2015-03-12,77.420128103,78.3618627706,77.2317872199,78.2429046631,16093300
2015-03-13,77.9157749603,78.6889837458,77.0037854987,77.3705673218,18557300
2015-03-16,77.2813302132,77.4399409878,76.6865549342,77.39037323,19305400
2015-03-17,77.6778640977,79.0855009523,77.6580339657,78.6691589355,22170000
2015-03-18,78.5601125965,80.5327871233,78.4808071977,80.2056655884,36912400
2015-03-19,80.4138474433,82.277479189,80.2948893291,82.0296554565,42099500
2015-03-20,82.6640915326,83.8635576053,82.3468774271,83.070526123,44466300
2015-03-23,83.1894601034,84.2204076315,82.5748621507,83.695022583,27357300
2015-03-24,83.9725845361,85.3207461163,83.7842360974,84.5673599243,32576500
2015-03-25,84.7557241162,84.7755466889,82.1981811523,82.1981811523,37436100
2015-03-26,81.9999152344,83.0407703403,81.424962378,82.2873916626,32794800
2015-03-27,82.6541650918,83.2192028758,82.1585176474,82.5748672485,18372600
2015-03-30,83.0804136918,83.6057987189,81.6926070402,82.4757232666,24527700
2015-03-31,82.1783379483,82.7731132977,81.4943421368,81.5042572021,19734300
2015-04-01,81.7818296254,81.9999157145,80.1660216537,80.9590530396,22058200
2015-04-02,81.5340019749,81.8413009604,80.731055561,80.8500061035,19664100
2015-04-06,80.0966206234,82.0891176703,80.0966206234,81.7223434448,19062900
2015-04-07,81.9305150176,82.6938086699,81.50425796,81.6033859253,17467000
2015-04-08,81.9106952955,82.3766051111,81.1275714129,81.5637435913,18966700
2015-04-09,81.7818334335,82.0792249439,80.9987095149,81.4547042847,15927300
2015-04-10,81.4943468578,81.8908663014,81.1969629473,81.3258285522,12529700
2015-04-13,81.2167913568,83.209296221,81.2068762902,82.2873916626,26883100
2015-04-14,82.4459865656,82.961464096,81.722345598,82.7929382324,19634200
2015-04-15,82.8226894881,82.9317325289,81.5538257004,81.9899978638,22390900
2015-04-16,81.7520785012,82.3468538332,81.4348644866,81.5934677124,13769700
2015-04-17,80.7707161198,81.3952292177,79.6703781167,80.0768051147,24215000
2015-04-20,80.8301889952,82.4261744276,80.5327974929,82.3666915894,28796800
2015-04-21,83.2687715535,83.7545039366,82.8127768073,82.8920822144,27171900
2015-04-22,83.5859810474,84.0023230673,82.9218153162,83.8932800293,45548000
2015-04-23,83.3678948373,84.8449220366,81.6926116943,81.6926116943,73728100
2015-04-24,82.0494779474,82.2180038332,80.7707141444,80.820274353,29660400
2015-04-27,81.1573153755,82.2080855388,80.9193991565,81.1969680786,25446000
2015-04-28,81.1176670899,81.1870574335,79.531596692,79.9776763916,23775300
2015-04-29,79.3134984064,80.6814824963,78.8277585131,79.769493103,26430300
2015-04-30,79.3135005715,80.2552276242,77.6382099075,78.0842895508,28999000
2015-05-01,78.5502148058,79.0656924484,77.4300541624,78.3023910522,24136400
2015-05-04,78.6394247169,78.9962914791,77.9455137625,78.1239471436,14692000
2015-05-05,77.8662294671,78.1140532305,76.547805231,76.8848419189,22311300
2015-05-06,77.2912622582,78.1239463191,76.3792727925,77.4201278687,28663000
2015-05-07,77.3209963408,78.2528158963,76.8848241976,77.747253418,19749400
2015-05-08,78.4114289935,78.5403021772,77.3507437,77.8265686035,19943600
2015-05-11,77.796827172,78.3420348299,77.2516119512,77.3309173584,18874100
2015-05-12,77.1921401243,77.2119626955,76.1215397681,76.7857055664,21285300
2015-05-13,77.043438118,77.8463845385,76.97404778,77.7571716309,21512300
2015-05-14,78.2528200163,81.1374841758,77.9851661642,80.6616668701,49438000
