date,open,high,low,close,volume
2015-01-02,39.5224797129,40.1662220691,39.4208368632,39.6071815491,27913900
2015-01-05,39.276836862,39.581768619,39.1751940201,39.2429580688,39673900
2015-01-06,39.2853132144,39.5987138955,38.573806782,38.6669807434,36447900
2015-01-07,38.9464911181,39.3530656743,38.5314476722,39.1582489014,29114100
2015-01-08,39.5987124054,40.4457436868,39.5733025009,40.310218811,29645200
2015-01-09,40.3271636965,40.5050395072,39.7257722045,39.971408844,23944200
2015-01-12,40.1662221982,40.2678682794,39.2683710993,39.4716567993,23651900
2015-01-13,39.7850534622,40.5812615662,39.0142552583,39.2683639526,35270600
2015-01-14,38.9295501709,39.1667210858,38.6415594559,38.9295501709,29719600
2015-01-15,39.149780388,39.2853052413,38.4636840002,38.5229759216,32750800
2015-01-16,38.3789858631,39.2006039519,38.2603987777,39.1667251587,35695300
2015-01-20,39.2175597566,39.514022735,38.5992271185,39.2937927246,36161900
2015-01-21,38.9126128565,39.0820197458,38.5229792731,38.8956718445,39081100
2015-01-22,39.2853121643,39.9290545235,39.0312034234,39.9205856323,35898000
2015-01-23,40.1154061209,40.1408160279,39.6410673914,39.9629402161,26211600
2015-01-26,39.8104817595,39.9205967627,39.1667392209,39.8189506531,42525500
2015-01-27,36.3799896394,36.5917474333,35.6684833226,36.134349823,169164000
2015-01-28,36.202102617,36.2444535164,34.8637922245,34.8892021179,84507100
2015-01-29,34.6689789557,35.6769446786,34.5503951331,35.583770752,63585300
2015-01-30,35.1941344411,35.2195475661,34.1776966804,34.2200508118,78004900
2015-02-02,34.3809961146,35.0416794085,34.0760643693,34.9654464722,50352500
2015-02-03,35.2619167393,35.5160255034,34.7706369951,35.2365036011,52082400
2015-02-04,35.5244791823,35.7531779414,35.0332028797,35.4397773743,41614800
2015-02-05,35.7616575202,36.1174090655,35.4567257778,35.9564743042,36548200
2015-02-06,36.1512986471,36.2444726135,35.7023730609,35.9225997925,34616600
2015-02-09,35.7785871452,36.2021026012,35.7531740207,35.88022995,31381100
2015-02-10,36.2021175167,36.2275274206,35.7277788474,36.083530426,29670700
2015-02-11,36.1258851109,36.1258851109,35.7531892826,35.8971862793,38262500
2015-02-12,36.134349641,36.4985733032,36.0072936729,36.4985733032,33268800
2015-02-13,36.7442200678,37.1592636108,36.5494032493,37.1592636108,40264900
2015-02-17,37.5090116684,37.5346024014,36.8436233221,37.1763191223,33695700
2015-02-18,37.2189710437,37.2786849229,37.014235419,37.1336631775,27111700
2015-02-19,36.8350917254,37.1336611049,36.7241931326,37.1080703735,27603400
2015-02-20,37.1166075085,37.4322417822,36.9289366814,37.4151802063,29721100
2015-02-23,37.2786973775,37.6966946718,37.2360450572,37.6625747681,32518800
2015-02-24,37.6625586162,37.7905155221,37.4663521697,37.6113739014,25271700
2015-02-25,37.4919617425,37.6113895393,37.3640015292,37.5260848999,29759800
2015-02-26,37.5260824617,37.7308148846,37.4407745737,37.5857963562,28957300
2015-02-27,37.6455093699,37.705223263,37.244570441,37.4066505432,33807700
2015-03-02,37.2530832336,37.6966742834,37.1507170695,37.4322280884,31924000
2015-03-03,37.1592690034,37.3895954342,36.7583300401,36.9204101562,31748600
2015-03-04,36.690067681,36.8606801389,36.5791723494,36.7327232361,25748700
2015-03-05,36.7412560351,36.8862777777,36.5279912551,36.7753791809,23193500
2015-03-06,36.6815353706,36.7753723771,35.9564365545,36.1355781555,36248800
2015-03-09,35.9905736282,36.7924515182,35.9905736282,36.5535926819,32108000
2015-03-10,36.1270589072,36.4341607661,35.8540802002,35.8540802002,39159700
