date,open,high,low,close,volume
2015-01-02,56.4231599664,56.9124683693,56.1540398782,56.7779083252,10220400
2015-01-05,56.331416003,56.514907827,54.7411706384,55.2243614197,18502400
2015-01-06,55.1937694782,55.9093837496,54.4475763518,54.9307670593,16670700
2015-01-07,55.4445401492,55.9521967303,55.0469777103,55.4873542786,13590700
2015-01-08,55.8115167373,56.4353804054,55.6586084723,56.4109191895,15487500
2015-01-09,56.4537312323,56.7473124771,55.8849123207,56.331401825,14488400
2015-01-12,55.8054088285,55.8665712119,54.9368908516,55.2488250732,15176300
2015-01-13,55.5852095831,55.9216096252,54.5026211441,55.0469741821,17469000
2015-01-14,54.4047715509,54.9797082551,53.3711146108,54.8879623413,23272100
2015-01-15,55.3099940963,55.4506717947,54.135659395,54.4108924866,18759600
2015-01-16,54.4231265991,55.774835471,54.4231265991,55.7320213318,17713100
2015-01-20,55.7442485346,56.1356934027,55.2794060038,55.7136650085,16761000
2015-01-21,56.1112348106,56.2641431279,55.6647451372,56.1907501221,14276400
2015-01-22,56.4598618271,56.8635419977,55.8543462375,56.8023796082,13559000
2015-01-23,56.4415204736,56.563849934,55.5301881584,55.5913505554,14706300
2015-01-26,55.4200873439,56.2335606598,55.334459065,56.1234664917,10672500
2015-01-27,55.805418337,56.0256066878,55.4139734169,55.6280441284,12301500
2015-01-28,55.5852377773,55.6158213117,53.713641199,53.7931518555,17829700
2015-01-29,53.9582821894,53.9827480776,52.6188039748,53.5668373108,22683000
2015-01-30,53.3099537895,54.0806082882,52.7533653184,53.4689750671,22679900
2015-02-02,53.7319726679,54.7962130695,53.5179019932,54.7901000977,20306300
2015-02-03,55.5974529388,56.472088509,55.5424035301,56.4231567383,21900900
2015-02-04,56.0500699087,56.4353971712,55.3589260253,55.9399757385,19632200
2015-02-05,56.5087771695,56.6005230603,56.0867488713,56.4904289246,12809000
2015-02-06,56.7554185438,56.8663413758,56.0529088416,56.3856773376,12331200
2015-02-09,56.3240539238,56.8725043918,56.2254537625,56.4226493835,11360700
2015-02-10,56.5335676163,56.5335676163,55.6461897444,56.0837173462,12952900
2015-02-11,55.4736362052,55.9727912241,55.3319043701,55.8310546875,12240600
2015-02-12,56.3610133697,57.1005003008,56.0898676915,56.9217910767,14843000
2015-02-13,57.1251465094,57.5873240853,56.8663281952,57.538028717,12061000
2015-02-17,57.1559664549,57.353162054,56.8724980749,57.340839386,11758700
2015-02-18,56.6876268297,56.6876268297,55.7016488045,56.0837173462,19177900
2015-02-19,55.2394869804,55.7201511115,54.5862772333,55.1162414551,19350600
2015-02-20,55.0915767208,55.4243451924,54.7526445642,55.4120178223,15959900
2015-02-23,55.0053050998,55.1840143587,54.6848592901,54.8512458801,12771800
2015-02-24,55.0484647119,55.3257695436,54.9252144633,55.1039237976,9990700
2015-02-25,55.1963306951,55.2764397876,54.8943759757,55.2148170471,9925700
2015-02-26,54.92519324,54.9560069656,54.2781473155,54.6294021606,13984000
2015-02-27,54.7773007919,55.0176328205,54.438368597,54.5616188049,13090600
2015-03-02,54.4383663293,54.5492891611,53.8282931053,54.2534980774,13793700
2015-03-03,54.1857180869,54.2411771586,53.69272662,53.9946861267,13493800
2015-03-04,54.2042053623,54.2042053623,53.5694820115,53.7235412598,13467600
2015-03-05,53.6557557324,53.7297058654,53.3168234997,53.4523963928,12527600
2015-03-06,53.2490288335,53.3661106388,52.5773282176,52.7683601379,16070500
2015-03-09,53.0703507436,53.2305690347,52.4541135275,52.4787635803,14503800
2015-03-10,52.269220692,52.7067483856,51.9118021136,51.9241294861,17195500
2015-03-11,52.3370193444,52.3370193444,51.7639186286,51.7762413025,13004700
2015-03-12,52.0288728164,52.2075820512,51.8008635096,51.8994636536,10792900
2015-03-13,51.7022746535,51.874820226,50.9504649152,51.6837882996,16799900
2015-03-16,51.5851806362,52.2938538782,51.3140349467,52.2322311401,13516200
2015-03-17,52.096654984,52.2876868705,51.7762092438,51.8131866455,12979700
2015-03-18,51.4804450538,53.2243970788,51.4126586004,53.0395240784,18745700
2015-03-19,52.4972274862,52.688259437,51.967263331,52.0165634155,12738500
2015-03-20,52.1767888098,52.6266439156,52.0042431916,52.0966796875,36083500
2015-03-23,52.3924593269,52.8608006887,52.386300343,52.6451187134,17450700
2015-03-24,52.5649886091,52.8607795709,52.0719974039,52.0843200684,10174300
2015-03-25,52.410940253,52.7313813113,52.2383900045,52.2938537598,11934700
2015-03-26,52.565011977,52.7313938793,51.8193611548,51.9610977173,14400700
2015-03-27,51.7885610934,51.7947247801,51.3510333618,51.5050926208,11579300
