arm,n_rows,n_weeks,mae,rmse,direction_accuracy,balanced_accuracy,positive_prevalence,neutral_count,pesaran_timmermann,weekly_rank_ic,top3_excess,top3_bottom3_spread,ndcg_at_3,prediction_dispersion,rank_ic_ci_low,rank_ic_ci_high,top3_excess_ci_low,top3_excess_ci_high
legacy_effective,1236,103,0.0466907342546,0.0634960003146,0.537216828479,0.505050072297,0.574433656958,0,0.389837619549,0.00651775409057,5.57452209037e-05,0.00222810461658,0.589148746529,0.0135996696919,-0.0656052685179,0.058322017788,-0.00551871208975,0.0042606538285
stride_only_fixed,1236,103,0.0467043889959,0.0635144474692,0.542071197411,0.50976811439,0.574433656958,0,0.755355969905,0.00889401860276,-0.000251869431086,0.00209155190803,0.589027930583,0.0136083777526,-0.0619203611922,0.0602960146649,-0.00562529262648,0.00377134776666
canonical_close_only,1236,103,0.0468135871203,0.0635627637031,0.533980582524,0.497552616077,0.574433656958,0,-0.195119952659,0.0020367981533,-0.000805393691384,0.00168596788022,0.583533892329,0.0137605838159,-0.0714933125127,0.0556113789123,-0.00635687710774,0.00335446025056
canonical_independent_5ch,1236,103,0.0468170929251,0.0635702006867,0.532362459547,0.496144165372,0.574433656958,0,-0.306775401154,0.0029194106864,-0.000709240943655,0.00208434538445,0.584079487084,0.013762122284,-0.0704901894222,0.0554942630185,-0.0062585972883,0.00340072257465
canonical_mixing_5ch,1236,103,0.0468241499946,0.06358593857,0.532362459547,0.496883200343,0.574433656958,0,-0.246476771802,-0.000611039445991,-0.00118613473512,0.00129933180782,0.580420001257,0.0137420845963,-0.0738712743567,0.0506500780773,-0.00660161247481,0.00289431486403
canonical_close_only__listnet,1236,103,0.410618771864,0.481426920017,0.574433656958,0.5,0.574433656958,0,0,0.0442664131985,0.00496776170718,0.00875379322552,0.598667793636,0.21310149826,-0.0326600583882,0.11419818046,-0.00118880347941,0.0116655532807
zero_return,1236,103,0.0448928125876,0.0614669604229,,,0.574433656958,1236,,,,,,0,,,,
historical_mean,1236,103,0.0443796603995,0.060994311266,0.574433656958,0.5,0.574433656958,0,0,-0.0281757077874,0.0012488257693,-0.000449632633928,0.583610459139,0.00292718931802,-0.109450743431,0.0416253649263,-0.00451924581688,0.0071575353063
majority_sign,1236,103,0.0478453128926,0.0638293837975,0.574433656958,0.5,0.574433656958,0,0,,,,,0,,,,
persistence_1w,1236,103,0.0651383187359,0.0879954276853,0.508899676375,0.497399989289,0.574433656958,0,-0.183027590218,-0.0332677031706,-0.000293586769274,-0.00146645105187,0.570146430583,0.0467041635816,-0.0950522778193,0.0201727883767,-0.00554380364417,0.00406212063718
reversal_1w,1236,103,0.0619950125817,0.0821172608936,0.491100323625,0.502600010711,0.574433656958,0,0.183027590218,0.0332677031706,0.00117286428259,0.00146645105187,0.589669330202,0.0455139907501,-0.0201727883767,0.0950522778193,-0.00423636094484,0.00741404300967
momentum_4w,1236,103,0.100877816525,0.137169253306,0.505663430421,0.487439083168,0.574433656958,0,-0.900273093991,0.00461674248082,0.000580546404366,-0.000488870531844,0.590736664848,0.0989366307373,-0.0649823477493,0.0678966664404,-0.00406818045872,0.00559026684436
ridge,1236,103,0.0442539247977,0.0608497258063,0.574433656958,0.5,0.574433656958,0,0,0.0265462692647,-0.000247599273053,0.00146947971716,0.581461939415,0.00129892783064,-0.0452899042705,0.0926760133071,-0.00558777664575,0.00574697543543
